collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;variants_obj;variants
owtrad;1020;Ptuj;http://topotime.org/owtrad/places/1020;Ptuj;15.869722;46.421391;[{"id" : 4720, "variant" : "Pettau", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4721, "variant" : "Ptuj", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Pettau,Ptuj}
owtrad;1021;Szombathely;http://topotime.org/owtrad/places/1021;Szombathely;16.616667;47.233334;[{"id" : 4722, "variant" : "Gyongyosherma", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4723, "variant" : "Hereny", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4724, "variant" : "Kamon", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4725, "variant" : "Olad", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4726, "variant" : "Perint", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4727, "variant" : "Sabaria", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4728, "variant" : "Savaria", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4729, "variant" : "Steinamanger", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4730, "variant" : "Szentkiraly", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4731, "variant" : "Szombatehly", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4732, "variant" : "Szombathely", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4733, "variant" : "Szombatnely", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4734, "variant" : "Zanat", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Gyongyosherma,Hereny,Kamon,Olad,Perint,Sabaria,Savaria,Steinamanger,Szentkiraly,Szombatehly,Szombathely,Szombatnely,Zanat}
owtrad;1022;Frankenau;http://topotime.org/owtrad/places/1022;Frankenau;16.6;47.450001;[{"id" : 4735, "variant" : "Frankenau", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Frankenau}
owtrad;1023;Sopron;http://topotime.org/owtrad/places/1023;Sopron;16.6;47.683334;[{"id" : 4736, "variant" : "Odenburg", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4737, "variant" : "Scarabantia", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4738, "variant" : "Scarbantia", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4739, "variant" : "Sopron", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4740, "variant" : "Szorpron", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Odenburg,Scarabantia,Scarbantia,Sopron,Szorpron}
owtrad;1024;Bruckneudorf;http://topotime.org/owtrad/places/1024;Bruckneudorf;16.783333;48.016666;[{"id" : 4741, "variant" : "Bruckneudorf", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Bruckneudorf}
owtrad;1026;Wilfersdorf;http://topotime.org/owtrad/places/1026;Wilfersdorf;16.633333;48.583332;[{"id" : 4743, "variant" : "Wilfersdorf", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Wilfersdorf}
owtrad;1027;Mikulov;http://topotime.org/owtrad/places/1027;Mikulov;16.633333;48.799999;[{"id" : 4744, "variant" : "Mikulov", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4744, "variant" : "Mikulov", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4745, "variant" : "Nikolov", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4745, "variant" : "Nikolov", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4746, "variant" : "Nikolsburg", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4746, "variant" : "Nikolsburg", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Mikulov,Nikolov,Nikolsburg}
owtrad;1028;Klodzko;http://topotime.org/owtrad/places/1028;Klodzko;16.65;50.433334;[{"id" : 4747, "variant" : "Glatz", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4747, "variant" : "Glatz", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4747, "variant" : "Glatz", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4747, "variant" : "Glatz", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4747, "variant" : "Glatz", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4748, "variant" : "Kladzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4748, "variant" : "Kladzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4748, "variant" : "Kladzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4748, "variant" : "Kladzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4748, "variant" : "Kladzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4749, "variant" : "Klodzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4749, "variant" : "Klodzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4749, "variant" : "Klodzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4749, "variant" : "Klodzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4749, "variant" : "Klodzko", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Glatz,Kladzko,Klodzko}
owtrad;1029;Poznan;http://topotime.org/owtrad/places/1029;Poznan;16.966667;52.416668;[{"id" : 4750, "variant" : "Posen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4750, "variant" : "Posen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4750, "variant" : "Posen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4750, "variant" : "Posen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4750, "variant" : "Posen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4751, "variant" : "Poznan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4751, "variant" : "Poznan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4751, "variant" : "Poznan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4751, "variant" : "Poznan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4751, "variant" : "Poznan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Posen,Poznan}
owtrad;103;Miran;http://topotime.org/owtrad/places/103;Miran;88.833336;39.25;[{"id" : 637, "variant" : "Mi-lan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 637, "variant" : "Mi-lan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 638, "variant" : "Milan Ancient City", "source" : "Anonymous-4 1991", "precision" : "exact", "identity" : "exact"}, {"id" : 638, "variant" : "Milan Ancient City", "source" : "Anonymous-4 1991", "precision" : "exact", "identity" : "exact"}, {"id" : 639, "variant" : "Miran", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 639, "variant" : "Miran", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 640, "variant" : "Miran-tarium", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 640, "variant" : "Miran-tarium", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 641, "variant" : "Mo-lang", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 641, "variant" : "Mo-lang", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 642, "variant" : "Mu-lan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 642, "variant" : "Mu-lan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Mi-lan,"Milan Ancient City",Miran,Miran-tarium,Mo-lang,Mu-lan}
