collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;cou_758;LINGZHOUSUO Ningxia (灵州所);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70564;;106.328140;38.088886;N;MDYZK;
courier;cou_759;YINCHUANYI Shaanxi (银川驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1747;;110.183258;37.760258;Y;MDYZK;
courier;cou_760;YUHEYI Shaanxi (鱼河驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_133297;;109.848999;37.988621;Y;MDYZK;
courier;cou_761;YULINYI Shaanxi (榆林驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_19802;;109.819168;37.980278;Y;MDYZK;
courier;cou_762;YULINWEI Shaanxi (榆林卫);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_121393;;109.753868;38.294708;Y;MDYZK;
courier;cou_763;GAOJIABAO Shaanxi (高家堡);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_133024;;110.294067;38.554996;Y;MDYZK;
courier;cou_764;BAILINBAO Shaanxi (柏林堡);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_133025;;110.325404;38.738793;Y;MDYZK;
courier;cou_765;ZHENQIANGBAO Shaanxi (镇羌所);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_133022;;110.717293;39.070564;Y;MDYZK;
courier;cou_766;BAODEZHOU Shaanxi (保德州);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_910;;111.074570;39.032143;Y;MDYZK;
courier;cou_767;NINGXIAWEI Ningxia (宁夏卫);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_220;;106.273972;38.466972;Y;MDYZK;
courier;cou_768;LIUDIANYI Hubei (流店驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_656;;111.501000;30.296000;Y;MDYZK;
courier;cou_769;FENGXIYI Hubei (凤栖驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_663;;111.287125;30.704227;Y;MDYZK;
courier;cou_770;HUANGNIUYI Hubei (黄牛驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_18482;;111.069206;30.833220;Y;MDYZK;
