"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"e1cd6468-731a-4487-8c54-16759495cab9","Itrum","char-offset:29484","PLACE","","","","","","UNVERIFIED","w","city of the Lemurnae"
"1e65f645-c335-45e2-856a-fbab0c323ed2","Via Appia","char-offset:29677","PLACE","http://pleiades.stoa.org/places/356966898","Via Appia","41.32701816113951","14.22498490948713","road","UNVERIFIED","",""
"b7a007ee-ca23-403e-b77b-c7ea87be7035","Caieta","char-offset:29695","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","",""
"ac847ce6-5782-447c-b2c9-e85b732f0f23","Terracina","char-offset:29982","PLACE","http://sws.geonames.org/3165762","Terracina","41.29174","13.24359","","VERIFIED","",""
"4bf22c85-b251-4f0e-b7fd-4490c608d0f3","Spelunca","char-offset:30049","PLACE","http://pleiades.stoa.org/places/433127","Speluncae|Villa Tiberii|Villa Tiberii, Villa di Tiberio, Sperlonga|Speluncae, Sperlonga","41.250938","13.449838","villa,settlement,cave","VERIFIED","w",""
"2cb239e9-6898-4525-b604-0b39b143e0b1","Caieta","char-offset:30232","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","w",""
"e339ecad-4f7a-4221-8b69-67d009245609","Traiectus","char-offset:30278","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","VERIFIED","river",""
"1d8c292b-6864-4d88-bbb7-2b56dcb44316","Liris","char-offset:30291","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","UNVERIFIED","",""
"447f3781-4714-4c7e-a1be-589bd2c842e2","Gaurianus","char-offset:30310","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","VERIFIED","",""
"95b19c36-01db-4db2-8a1d-221da08b3ae4","Italy","char-offset:30396","PLACE","http://sws.geonames.org/3175395","Italy","42.78740074008558","12.081074295699182","","UNVERIFIED","",""
