# title: Itinerary of the Bordeaux Pilgrim
# places: places_bordeaux.csv
# segmentType: hroute
# author: Anonymous ('The Pilgrim')
# pub_date: 2017
# contributors: Pelagios3, K. Grossner
# language: la
# timespan: [0333,,,0334,from 333-334CE]
# periods: [""]
# description: 
# uri: [http://www.christusrex.org/www1/ofm/pilgr/bord/10Bord01Lat.html]
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;distance
bor;7000;7000-29;bor_28;bor_29;sostantione->ambrosi;{"type":"LineString","coordinates":[[3.89573,43.64139],[4.149532,43.715393]]};0333-01-01,,,0334-12-31;?;7000-28;15 miles
bor;7000;7000-30;bor_29;bor_30;ambrosi->nemauso;{"type":"LineString","coordinates":[[4.149532,43.715393],[4.300122722,43.8864857]]};0333-01-01,,,0334-12-31;?;7000-29;15 miles
bor;7000;7000-31;bor_30;bor_31;nemauso->ponte aerarium;{"type":"LineString","coordinates":[[4.300122722,43.8864857],[4.5144978,43.753814]]};0333-01-01,,,0334-12-31;?;7000-30;16 miles
bor;7000;7000-32;bor_31;bor_32;ponte aerarium->arelate;{"type":"LineString","coordinates":[[4.5144978,43.753814],[4.62266,43.67586]]};0333-01-01,,,0334-12-31;?;7000-31;8 miles
bor;7000;7000-33;bor_32;bor_33;arelate->arnagine;{"type":"LineString","coordinates":[[4.62266,43.67586],[4.6980992,43.7666736]]};0333-01-01,,,0334-12-31;?;7000-32;8 miles
bor;7000;7000-34;bor_33;bor_34;arnagine->bellinto;{"type":"LineString","coordinates":[[4.6980992,43.7666736],[4.78,43.883]]};0333-01-01,,,0334-12-31;?;7000-33;10 miles
bor;7000;7000-35;bor_34;bor_35;bellinto->auenione;{"type":"LineString","coordinates":[[4.78,43.883],[4.80769,43.95159]]};0333-01-01,,,0334-12-31;?;7000-34;5 miles
bor;7000;7000-36;bor_35;bor_36;auenione->cypresseta;{"type":"LineString","coordinates":[[4.80769,43.95159],[4.8727,44.0125]]};0333-01-01,,,0334-12-31;?;7000-35;5 miles
bor;7000;7000-37;bor_36;bor_37;cypresseta->arausione;{"type":"LineString","coordinates":[[4.8727,44.0125],[4.807393,44.138048]]};0333-01-01,,,0334-12-31;?;7000-36;13 miles
bor;7000;7000-38;bor_37;bor_38;arausione->ad letoce;{"type":"LineString","coordinates":[[4.807393,44.138048],[4.758859,44.319455]]};0333-01-01,,,0334-12-31;?;7000-37;10 miles
bor;7000;7000-39;bor_38;bor_39;ad letoce->nouem craris;{"type":"LineString","coordinates":[[4.758859,44.319455],[4.74316,44.413686]]};0333-01-01,,,0334-12-31;?;7000-38;15 miles
bor;7000;7000-40;bor_39;bor_40;nouem craris->acuno;{"type":"LineString","coordinates":[[4.74316,44.413686],[4.78607,44.55356]]};0333-01-01,,,0334-12-31;?;7000-39;7 miles
bor;7000;7000-41;bor_40;bor_41;acuno->bantianis;{"type":"LineString","coordinates":[[4.78607,44.55356],[4.800244,44.706103]]};0333-01-01,,,0334-12-31;?;7000-40;7 miles
bor;7000;7000-42;bor_41;bor_42;bantianis->vmbenno;{"type":"LineString","coordinates":[[4.800244,44.706103],[4.800244,44.706103]]};0333-01-01,,,0334-12-31;?;7000-41;12 miles
bor;7000;7000-43;bor_42;bor_43;vmbenno->valentia;{"type":"LineString","coordinates":[[4.800244,44.706103],[4.889528,44.931632]]};0333-01-01,,,0334-12-31;?;7000-42;9 miles
bor;7000;7000-44;bor_43;bor_44;valentia->cerebelliaca;{"type":"LineString","coordinates":[[4.889528,44.931632],[5.04122,44.80499]]};0333-01-01,,,0334-12-31;?;7000-43;12 miles
bor;7000;7000-45;bor_44;bor_45;cerebelliaca->augusta;{"type":"LineString","coordinates":[[5.04122,44.80499],[5.05739,44.71597]]};0333-01-01,,,0334-12-31;?;7000-44;10 miles
bor;7000;7000-46;bor_45;bor_46;augusta->darentiaca;{"type":"LineString","coordinates":[[5.05739,44.71597],[5.197155,44.697838]]};0333-01-01,,,0334-12-31;?;7000-45;12 miles
bor;7000;7000-47;bor_46;bor_47;darentiaca->dea vocontiorum;{"type":"LineString","coordinates":[[5.197155,44.697838],[5.37102,44.75216]]};0333-01-01,,,0334-12-31;?;7000-46;16 miles
bor;7000;7000-48;bor_47;bor_48;dea vocontiorum->luco;{"type":"LineString","coordinates":[[5.37102,44.75216],[5.4515,44.6157]]};0333-01-01,,,0334-12-31;?;7000-47;12 miles
bor;7000;7000-49;bor_48;bor_49;luco->vologatis;{"type":"LineString","coordinates":[[5.4515,44.6157],[5.5596675,44.5719477]]};0333-01-01,,,0334-12-31;?;7000-48;9 miles
bor;7000;7000-50;bor_49;bor_50;vologatis->cambono;{"type":"LineString","coordinates":[[5.5596675,44.5719477],[5.684937,44.530062]]};0333-01-01,,,0334-12-31;?;7000-49;8 miles
bor;7000;7000-51;bor_50;bor_51;cambono->monte seleuci;{"type":"LineString","coordinates":[[5.684937,44.530062],[5.75141,44.457432]]};0333-01-01,,,0334-12-31;?;7000-50;8 miles
bor;7000;7000-52;bor_51;bor_52;monte seleuci->dauiano;{"type":"LineString","coordinates":[[5.75141,44.457432],[5.8211,44.5337]]};0333-01-01,,,0334-12-31;?;7000-51;8 miles
bor;7000;7000-53;bor_52;bor_53;dauiano->ad finem;{"type":"LineString","coordinates":[[5.8211,44.5337],[5.958459,44.563424]]};0333-01-01,,,0334-12-31;?;7000-52;12 miles
bor;7000;7000-54;bor_53;bor_54;ad finem->vappinco;{"type":"LineString","coordinates":[[5.958459,44.563424],[6.0781,44.55823]]};0333-01-01,,,0334-12-31;?;7000-53;11 miles
bor;7000;7000-55;bor_54;bor_55;vappinco->catorigas;{"type":"LineString","coordinates":[[6.0781,44.55823],[6.275977,44.544438]]};0333-01-01,,,0334-12-31;?;7000-54;12 miles
bor;7000;7000-56;bor_55;bor_56;catorigas->ebreduno;{"type":"LineString","coordinates":[[6.275977,44.544438],[6.495055,44.562348]]};0333-01-01,,,0334-12-31;?;7000-55;16 miles
bor;7000;7000-57;bor_56;bor_57;ebreduno->ramae;{"type":"LineString","coordinates":[[6.495055,44.562348],[6.5799,44.7505]]};0333-01-01,,,0334-12-31;?;7000-56;17 miles
bor;7000;7000-58;bor_57;bor_58;ramae->byrigante;{"type":"LineString","coordinates":[[6.5799,44.7505],[6.6342,44.8969]]};0333-01-01,,,0334-12-31;?;7000-57;17 miles
bor;7000;7000-59;bor_58;bor_59;byrigante->gesdaone;{"type":"LineString","coordinates":[[6.6342,44.8969],[6.79464,44.95463]]};0333-01-01,,,0334-12-31;?;7000-58;10 miles
bor;7000;7000-60;bor_59;bor_60;gesdaone->ad marte;{"type":"LineString","coordinates":[[6.79464,44.95463],[6.8336348,45.0333246]]};0333-01-01,,,0334-12-31;?;7000-59;9 miles
bor;7000;7000-61;bor_60;bor_61;ad marte->segussione;{"type":"LineString","coordinates":[[6.8336348,45.0333246],[7.04537,45.13736]]};0333-01-01,,,0334-12-31;?;7000-60;16 miles
bor;7000;7000-62;bor_61;bor_62;segussione->ad duodecimum;{"type":"LineString","coordinates":[[7.04537,45.13736],[7.21734,45.13486]]};0333-01-01,,,0334-12-31;?;7000-61;12 miles
bor;7000;7000-8;bor_8;bor_9;elusa->vanesia;{"type":"LineString","coordinates":[[0.1032,43.8611],[0.377856,43.724899]]};0333-01-01,,,0334-12-31;?;7000-7;12 leagues
bor;7000;7000-63;bor_62;bor_63;ad duodecimum->ad fines;{"type":"LineString","coordinates":[[7.21734,45.13486],[7.41951,45.09822]]};0333-01-01,,,0334-12-31;?;7000-62;12 miles
bor;7000;7000-64;bor_63;bor_64;ad fines->ad octauum;{"type":"LineString","coordinates":[[7.41951,45.09822],[7.518,45.07054]]};0333-01-01,,,0334-12-31;?;7000-63;8 miles
bor;7000;7000-65;bor_64;bor_65;ad octauum->taurinis;{"type":"LineString","coordinates":[[7.518,45.07054],[7.685433,45.073361]]};0333-01-01,,,0334-12-31;?;7000-64;8 miles
bor;7000;7000-66;bor_65;bor_66;taurinis->ad decimum;{"type":"LineString","coordinates":[[7.685433,45.073361],[7.8389259,45.1782962]]};0333-01-01,,,0334-12-31;?;7000-65;10 miles
bor;7000;7000-67;bor_66;bor_67;ad decimum->quadratis;{"type":"LineString","coordinates":[[7.8389259,45.1782962],[7.9693888,45.1911111]]};0333-01-01,,,0334-12-31;?;7000-66;12 miles
bor;7000;7000-68;bor_67;bor_68;quadratis->ceste;{"type":"LineString","coordinates":[[7.9693888,45.1911111],[8.151744,45.189906]]};0333-01-01,,,0334-12-31;?;7000-67;11 miles
bor;7000;7000-69;bor_68;bor_69;ceste->rigomago;{"type":"LineString","coordinates":[[8.151744,45.189906],[8.2974,45.1931]]};0333-01-01,,,0334-12-31;?;7000-68;8 miles
bor;7000;7000-70;bor_69;bor_70;rigomago->ad medias;{"type":"LineString","coordinates":[[8.2974,45.1931],[8.47943,45.18188]]};0333-01-01,,,0334-12-31;?;7000-69;10 miles
bor;7000;7000-71;bor_70;bor_71;ad medias->ad cottias;{"type":"LineString","coordinates":[[8.47943,45.18188],[8.61114,45.19207]]};0333-01-01,,,0334-12-31;?;7000-70;13 miles
bor;7000;7000-72;bor_71;bor_72;ad cottias->laumello;{"type":"LineString","coordinates":[[8.61114,45.19207],[8.79383,45.12266]]};0333-01-01,,,0334-12-31;?;7000-71;12 miles
bor;7000;7000-73;bor_72;bor_73;laumello->duriis;{"type":"LineString","coordinates":[[8.79383,45.12266],[8.95161,45.15496]]};0333-01-01,,,0334-12-31;?;7000-72;9 miles
bor;7000;7000-74;bor_73;bor_74;duriis->ticino;{"type":"LineString","coordinates":[[8.95161,45.15496],[9.1566,45.1859]]};0333-01-01,,,0334-12-31;?;7000-73;12 miles
bor;7000;7000-75;bor_74;bor_75;ticino->ad decimum;{"type":"LineString","coordinates":[[9.1566,45.1859],[9.15933,45.32437]]};0333-01-01,,,0334-12-31;?;7000-74;10 miles
bor;7000;7000-76;bor_75;bor_76;ad decimum->mediolanum;{"type":"LineString","coordinates":[[9.15933,45.32437],[9.1881,45.4637]]};0333-01-01,,,0334-12-31;?;7000-75;10 miles
bor;7000;7000-77;bor_76;bor_77;mediolanum->argentea;{"type":"LineString","coordinates":[[9.1881,45.4637],[9.40846,45.53126]]};0333-01-01,,,0334-12-31;?;7000-76;10 miles
bor;7000;7000-78;bor_77;bor_78;argentea->ponte aureoli;{"type":"LineString","coordinates":[[9.40846,45.53126],[9.53731,45.57757]]};0333-01-01,,,0334-12-31;?;7000-77;10 miles
bor;7000;7000-79;bor_78;bor_79;ponte aureoli->bergamo;{"type":"LineString","coordinates":[[9.53731,45.57757],[9.6687,45.6947]]};0333-01-01,,,0334-12-31;?;7000-78;13 miles
bor;7000;7000-80;bor_79;bor_80;bergamo->tellegate;{"type":"LineString","coordinates":[[9.6687,45.6947],[9.85393,45.62681]]};0333-01-01,,,0334-12-31;?;7000-79;12 miles
bor;7000;7000-81;bor_80;bor_81;tellegate->tetellus;{"type":"LineString","coordinates":[[9.85393,45.62681],[10.07348,45.55597]]};0333-01-01,,,0334-12-31;?;7000-80;10 miles
bor;7000;7000-82;bor_81;bor_82;tetellus->brixa;{"type":"LineString","coordinates":[[10.07348,45.55597],[10.2229,45.5398]]};0333-01-01,,,0334-12-31;?;7000-81;10 miles
bor;7000;7000-83;bor_82;bor_83;brixa->ad flexum;{"type":"LineString","coordinates":[[10.2229,45.5398],[10.60554,45.46587]]};0333-01-01,,,0334-12-31;?;7000-82;11 miles
bor;7000;7000-84;bor_83;bor_84;ad flexum->beneuentum;{"type":"LineString","coordinates":[[10.60554,45.46587],[10.72455,45.43802]]};0333-01-01,,,0334-12-31;?;7000-83;10 miles
bor;7000;7000-85;bor_84;bor_85;beneuentum->verona;{"type":"LineString","coordinates":[[10.72455,45.43802],[10.997007,45.447243]]};0333-01-01,,,0334-12-31;?;7000-84;10 miles
bor;7000;7000-86;bor_85;bor_86;verona->cadiano;{"type":"LineString","coordinates":[[10.997007,45.447243],[11.178444,45.415315]]};0333-01-01,,,0334-12-31;?;7000-85;10 miles
bor;7000;7000-87;bor_86;bor_87;cadiano->aureos;{"type":"LineString","coordinates":[[11.178444,45.415315],[11.384537,45.457519]]};0333-01-01,,,0334-12-31;?;7000-86;10 miles
bor;7000;7000-88;bor_87;bor_88;aureos->vincentia;{"type":"LineString","coordinates":[[11.384537,45.457519],[11.5403,45.5459]]};0333-01-01,,,0334-12-31;?;7000-87;11 miles
bor;7000;7000-89;bor_88;bor_89;vincentia->ad finem;{"type":"LineString","coordinates":[[11.5403,45.5459],[11.71983,45.46073]]};0333-01-01,,,0334-12-31;?;7000-88;11 miles
bor;7000;7000-90;bor_89;bor_90;ad finem->pataui;{"type":"LineString","coordinates":[[11.71983,45.46073],[11.8766,45.4096]]};0333-01-01,,,0334-12-31;?;7000-89;10 miles
bor;7000;7000-91;bor_90;bor_91;pataui->ad duodecimum;{"type":"LineString","coordinates":[[11.8766,45.4096],[12.10001,45.4132]]};0333-01-01,,,0334-12-31;?;7000-90;12 miles
bor;7000;7000-92;bor_91;bor_92;ad duodecimum->ad nonum;{"type":"LineString","coordinates":[[12.10001,45.4132],[12.2770176,45.4814175]]};0333-01-01,,,0334-12-31;?;7000-91;11 miles
bor;7000;7000-93;bor_92;bor_93;ad nonum->altino;{"type":"LineString","coordinates":[[12.2770176,45.4814175],[12.3994439,45.5462452]]};0333-01-01,,,0334-12-31;?;7000-92;9 miles
bor;7000;7000-94;bor_93;bor_94;altino->sanos;{"type":"LineString","coordinates":[[12.3994439,45.5462452],[12.69068,45.71343]]};0333-01-01,,,0334-12-31;?;7000-93;10 miles
bor;7000;7000-95;bor_94;bor_95;sanos->concordia;{"type":"LineString","coordinates":[[12.69068,45.71343],[12.84547,45.75594]]};0333-01-01,,,0334-12-31;?;7000-94;9 miles
bor;7000;7000-96;bor_95;bor_96;concordia->apicilia;{"type":"LineString","coordinates":[[12.84547,45.75594],[12.98675,45.78756]]};0333-01-01,,,0334-12-31;?;7000-95;9 miles
bor;7000;7000-97;bor_96;bor_97;apicilia->ad vndecimum;{"type":"LineString","coordinates":[[12.98675,45.78756],[13.215652,45.833489]]};0333-01-01,,,0334-12-31;?;7000-96;10 miles
bor;7000;7000-98;bor_97;bor_98;ad vndecimum->aquileia;{"type":"LineString","coordinates":[[13.215652,45.833489],[13.370946,45.769631]]};0333-01-01,,,0334-12-31;?;7000-97;11 miles
bor;7000;7000-9;bor_9;bor_10;vanesia->auscius;{"type":"LineString","coordinates":[[0.377856,43.724899],[0.5852,43.6477]]};0333-01-01,,,0334-12-31;?;7000-8;8 leagues
bor;7000;7000-10;bor_10;bor_11;auscius->ad sextum;{"type":"LineString","coordinates":[[0.5852,43.6477],[0.733189,43.64785]]};0333-01-01,,,0334-12-31;?;7000-9;6 leagues
bor;7000;7000-20;bor_20;bor_21;hebromago->cedros;{"type":"LineString","coordinates":[[2.11342,43.24359],[2.2544606,43.225184]]};0333-01-01,,,0334-12-31;?;7000-19;6 miles
bor;7000;7000-99;bor_98;bor_99;aquileia->ad vndecimum;{"type":"LineString","coordinates":[[13.370946,45.769631],[13.50011,45.89305]]};0333-01-01,,,0334-12-31;?;7000-98;11 miles
bor;7000;7000-100;bor_99;bor_100;ad vndecimum->ad fornolus;{"type":"LineString","coordinates":[[13.50011,45.89305],[13.720575,45.8908528]]};0333-01-01,,,0334-12-31;?;7000-99;12 miles
bor;7000;7000-101;bor_100;bor_101;ad fornolus->castra;{"type":"LineString","coordinates":[[13.720575,45.8908528],[13.905216,45.889328]]};0333-01-01,,,0334-12-31;?;7000-100;12 miles
bor;7000;7000-102;bor_101;bor_102;castra->alpes iuliae;{"type":"LineString","coordinates":[[13.905216,45.889328],[14.11198,45.86363]]};0333-01-01,,,0334-12-31;?;7000-101;9 miles
bor;7000;7000-103;bor_102;bor_103;alpes iuliae->longatico;{"type":"LineString","coordinates":[[14.11198,45.86363],[14.22982,45.91769]]};0333-01-01,,,0334-12-31;?;7000-102;10 miles
bor;7000;7000-104;bor_103;bor_104;longatico->ad nonum;{"type":"LineString","coordinates":[[14.22982,45.91769],[14.36629,46.00907]]};0333-01-01,,,0334-12-31;?;7000-103;9 miles
bor;7000;7000-105;bor_104;bor_105;ad nonum->emona;{"type":"LineString","coordinates":[[14.36629,46.00907],[14.501095,46.047361]]};0333-01-01,,,0334-12-31;?;7000-104;14 miles
bor;7000;7000-106;bor_105;bor_106;emona->ad quartodecimo;{"type":"LineString","coordinates":[[14.501095,46.047361],[14.58867,46.14973]]};0333-01-01,,,0334-12-31;?;7000-105;10 miles
bor;7000;7000-107;bor_106;bor_107;ad quartodecimo->hadrante;{"type":"LineString","coordinates":[[14.58867,46.14973],[14.883019,46.188078]]};0333-01-01,,,0334-12-31;?;7000-106;13 miles
bor;7000;7000-108;bor_107;bor_108;hadrante->ad medias;{"type":"LineString","coordinates":[[14.883019,46.188078],[15.099633,46.263669]]};0333-01-01,,,0334-12-31;?;7000-107;13 miles
bor;7000;7000-109;bor_108;bor_109;ad medias->celeia;{"type":"LineString","coordinates":[[15.099633,46.263669],[15.2602936,46.231018]]};0333-01-01,,,0334-12-31;?;7000-108;13 miles
bor;7000;7000-110;bor_109;bor_110;celeia->lotodos;{"type":"LineString","coordinates":[[15.2602936,46.231018],[15.3644038,46.3629738]]};0333-01-01,,,0334-12-31;?;7000-109;12 miles
bor;7000;7000-111;bor_110;bor_111;lotodos->ragindone;{"type":"LineString","coordinates":[[15.3644038,46.3629738],[15.5,46.351]]};0333-01-01,,,0334-12-31;?;7000-110;12 miles
bor;7000;7000-112;bor_111;bor_112;ragindone->pultouia;{"type":"LineString","coordinates":[[15.5,46.351],[15.69058,46.40644]]};0333-01-01,,,0334-12-31;?;7000-111;12 miles
bor;7000;7000-113;bor_112;bor_113;pultouia->poetouione;{"type":"LineString","coordinates":[[15.69058,46.40644],[15.8699813,46.4199885]]};0333-01-01,,,0334-12-31;?;7000-112;12 miles
bor;7000;7000-114;bor_113;bor_114;poetouione->ramista;{"type":"LineString","coordinates":[[15.8699813,46.4199885],[16.038,46.405]]};0333-01-01,,,0334-12-31;?;7000-113;9 miles
bor;7000;7000-115;bor_114;bor_115;ramista->aqua viua;{"type":"LineString","coordinates":[[16.038,46.405],[16.233,46.344]]};0333-01-01,,,0334-12-31;?;7000-114;9 miles
bor;7000;7000-116;bor_115;bor_116;aqua viua->populis;{"type":"LineString","coordinates":[[16.233,46.344],[16.334,46.31]]};0333-01-01,,,0334-12-31;?;7000-115;10 miles
bor;7000;7000-117;bor_116;bor_117;populis->iouia;{"type":"LineString","coordinates":[[16.334,46.31],[16.6150889,46.2537624]]};0333-01-01,,,0334-12-31;?;7000-116;9 miles
bor;7000;7000-118;bor_117;bor_118;iouia->sunista;{"type":"LineString","coordinates":[[16.6150889,46.2537624],[16.766,46.186]]};0333-01-01,,,0334-12-31;?;7000-117;9 miles
bor;7000;7000-119;bor_118;bor_119;sunista->peritur;{"type":"LineString","coordinates":[[16.766,46.186],[16.833,46.125]]};0333-01-01,,,0334-12-31;?;7000-118;12 miles
bor;7000;7000-120;bor_119;bor_120;peritur->lentolis;{"type":"LineString","coordinates":[[16.833,46.125],[17.292695,45.92436]]};0333-01-01,,,0334-12-31;?;7000-119;12 miles
bor;7000;7000-121;bor_120;bor_121;lentolis->cardono;{"type":"LineString","coordinates":[[17.292695,45.92436],[17.511,45.854]]};0333-01-01,,,0334-12-31;?;7000-120;10 miles
bor;7000;7000-122;bor_121;bor_122;cardono->cocconis;{"type":"LineString","coordinates":[[17.511,45.854],[17.74,45.805]]};0333-01-01,,,0334-12-31;?;7000-121;12 miles
