id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
363;363;ad duodecimum;12th milestone;;;;;Ostrovo;12;mile;;;
364;364;cellis;Cellis;;;;;;16;mile;;;
365;365;grande;Grande;;;;;Florina;14;mile;;;
366;366;melitonus;Melitonus;;;;;Dragosch;14;mile;;;
367;367;heraclea;Heraclea;;;;Heraclea Lyncestis;Toli Monastir;13;mile;;;
368;368;parambole;Parambole;;;;Castra, Nicia;;12;mile;;;
369;369;brucida;Brucida;;;;Brucias, Brygias;;19;mile;;;
370;370;cledo;Cledo;;;;Lychnidus;Ochrida;13;mile;;;
371;371;patras;Patræ;;;;;;12;mile;;;
372;372;claudanon;Claudanon;;;;Claudanum;Kükëseh;4;mile;;;
373;373;tabernas;Tabernæ;;;;Tres Tabernæ;Juru;9;mile;;;
374;374;grandauia;Grandavia;;;;Diana Candavia;;9;mile;;;
375;375;treiecto;Genusus;;;;;Sakumbi Su;9;mile;river?;;
376;376;hiscampis;Hiscampis;;;;Scampæ;El Bassan;9;mile;;;
377;377;ad quintum;5th milestone;;;;;;6;mile;;;
378;378;coladiana;Coladiana;;;;Clodiana;;15;mile;;;
379;379;marusio;Marusium;;;;;;13;mile;;;
380;380;absos;Absos;;;;on the Apous;;14;mile;;;
381;381;stefanaphana;Stephanaphana;;;;;Dukanasi;12;mile;;;
382;382;appollonia;Apollonia;;;;;Polina;18;mile;;;
383;383;stefana;Stephanaphana;;;;;Goritza;12;mile;;;
384;384;aulona treiectum;Aulon;;;;;Avlona;12;mile;;;
385;385;ad duodecimum;12th milestone;;;;;;13;mile;;;
386;386;clipeas;Clipæ;;;;Lupiæ;Lecce;12;mile;;;
387;387;valentia;Valentia;;;;Baletium;Baleso;13;mile;;;
388;388;brindisi;Brindisium;;;;Brundisium;Brindisi;11;mile;;;
389;389;spilenaees;Spilenees;;;;Speluncæ;;14;mile;;;
390;390;ad decimum;10th milestone;;;;;Pto. Villa Nova;11;mile;;;
391;391;leonatiae;Leonatia;;;;Gnatia, Egnatia;Agnazzo;10;mile;;;
392;392;turres aurilianas;Turres Aurilianæ;;;;;San Vito;15;mile;;;
393;393;turres iuliana;Turres Julianæ;;;;;;9;mile;;;
394;394;beroes;Beroes;;;;Barium;Bari;11;mile;;;
395;395;butontones;Butontones;;;;Butuntum;Bitonto;11;mile;;;
396;396;rubos;Rubi;;;;;Ruvo;11;mile;;;
397;397;ad quintumdecimum;15th milestone;;;;;;15;mile;;;
398;398;canusio;Canusium;;;;Canosa;;15;mile;;;
399;399;vndecimum;11th milestone;;;;;;11;mile;;;
400;400;serdonis;Serdonis;;;;Herdonea;Ordona;15;mile;;;
401;401;aecas;Æcæ;;;;;Troja;18;mile;;;
402;402;aquilonis;Aquilo;;;;;;10;mile;;;
403;403;equum magnum;Equus Magnus;;;;Equus Tuticus;S. Eleuterio;8;mile;;;
404;404;forno nouo;Fornum Novum;;;;Forum Novum;Buonalbergo;12;mile;;;
405;405;beneuento;Beneventum;;;;;Benevento;10;mile;;;
406;406;claudiis;Claudii;;;;Caudium;Casta Cauda;12;mile;;;
407;407;nouas;Novæ;;;;;;9;mile;;;
408;408;capua;Capua;;;;;Capua;12;mile;;;
409;409;ad octauum;8th milestone;;;;;;8;mile;;;
410;410;ponte campano;Pons Campanus;;;;;over Savone River;9;mile;;;
411;411;sonuessa;Sonuessa;;;;Sinuessa;Mondragone;9;mile;;;
412;412;menturnas;Menturnæ;;;;Mintunæ;on Liris;9;mile;;;
413;413;formis;Formi;;;;;Mola di Gæta;9;mile;;;
414;414;fundis;Fundi;;;;;Fondi;12;mile;;;
415;415;tarracina;Tarracina;;;;;Terracina;13;mile;;;
416;416;ad medias;Mediæ;;;;;Posta di Mesa;10;mile;;;
417;417;appi foro;Forum Appio;;;;;Foro Appio;9;mile;;;
418;418;sponsas;Sponsæ;;;;;;7;mile;;;
